"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-08 08:04:53.667735 UTC to 1980-01-08 08:04:53.667735 UTC", ... , "2080-12-16 08:19:37.190832 UTC to 2080-12-16 08:19:37.190832 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-08 08:04:53.667735 UTC","2444246.8367322655 JD UTC"
"1980-02-05 01:54:15.773460 UTC","2444274.5793492300 JD UTC"
"1980-03-03 10:50:09.424542 UTC","2444301.9514979690 JD UTC"
"1980-03-30 11:30:59.781637 UTC","2444328.9798585840 JD UTC"
"1980-04-26 19:49:09.954454 UTC","2444356.3258096580 JD UTC"
"1980-05-24 11:26:43.323638 UTC","2444383.9768903200 JD UTC"
"1980-06-21 05:34:21.239177 UTC","2444411.7321902680 JD UTC"
"1980-07-19 00:11:55.270943 UTC","2444439.5082785990 JD UTC"
"1980-08-15 18:04:36.904252 UTC","2444467.2532049106 JD UTC"
"1980-09-12 08:43:28.541935 UTC","2444494.8635247910 JD UTC"
"1980-10-09 15:02:04.469092 UTC","2444522.1264406145 JD UTC"
"1980-11-05 16:50:24.267456 UTC","2444549.2016697624 JD UTC"
"1980-12-03 04:18:52.588509 UTC","2444576.6797753300 JD UTC"
"1980-12-30 23:10:27.714983 UTC","2444604.4655985530 JD UTC"
"1981-01-27 20:28:13.633273 UTC","2444632.3529355703 JD UTC"
"1981-02-24 16:47:44.644698 UTC","2444660.1998222770 JD UTC"
"1981-03-24 08:49:48.439382 UTC","2444687.8679217520 JD UTC"
"1981-04-20 16:27:43.996448 UTC","2444715.1859258846 JD UTC"
"1981-05-17 18:13:28.179079 UTC","2444742.2593539245 JD UTC"
"1981-06-14 02:39:12.350690 UTC","2444769.6105596144 JD UTC"
"1981-07-11 17:36:40.246384 UTC","2444797.2337991480 JD UTC"
"1981-08-08 11:29:56.598243 UTC","2444824.9791272944 JD UTC"
"1981-09-05 06:33:00.079495 UTC","2444852.7729175870 JD UTC"
"1981-10-03 01:12:39.671291 UTC","2444880.5504591586 JD UTC"
"1981-10-30 16:03:42.745271 UTC","2444908.1692447370 JD UTC"
"1981-11-26 20:39:13.419336 UTC","2444935.3605719833 JD UTC"
"1981-12-23 22:45:00.561437 UTC","2444962.4479231650 JD UTC"
"1982-01-20 12:27:42.475735 UTC","2444990.0192416175 JD UTC"
"1982-02-17 08:16:02.797594 UTC","2445017.8444768240 JD UTC"
