"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-08 08:04:53.667735 UTC to 1980-01-08 08:04:53.667735 UTC", ... , "2080-12-16 08:19:37.190832 UTC to 2080-12-16 08:19:37.190832 UTC"], items=1339"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-08 08:04:53.667735 UTC",173.83671404,2.09850251,404719.85032588,0.00013647,1.13210937E-05,5.78096598E-15,0.96663219,"1980-01-08 08:04:53.667735 UTC",1.35000011
"1980-02-05 01:54:15.773460 UTC",178.93850578,2.62322023,405603.47026447,0.00013653,1.09602922E-05,1.79279334E-14,0.96862492,"1980-02-05 01:54:15.773460 UTC",1.35294755
"1980-03-03 10:50:09.424542 UTC",-179.91309774,2.70614412,406242.18281097,0.00013673,1.08227972E-05,5.28188604E-14,0.97137293,"1980-03-03 10:50:09.424542 UTC",1.35507806
"1980-03-30 11:30:59.781637 UTC",177.39687606,2.47923195,406334.75656577,0.00013668,1.08327137E-05,3.29645165E-14,0.97146073,"1980-03-30 11:30:59.781637 UTC",1.35538685
"1980-04-26 19:49:09.954454 UTC",178.36316120,2.64441386,405783.99609934,0.00013659,1.02887946E-05,3.64222541E-14,0.96909885,"1980-04-26 19:49:09.954454 UTC",1.35354972
"1980-05-24 11:26:43.323638 UTC",-177.40477823,3.14563203,404831.13899176,0.00013682,9.41122717E-06,2.51018824E-14,0.96752935,"1980-05-24 11:26:43.323638 UTC",1.35037133
"1980-06-21 05:34:21.239177 UTC",-172.27292583,3.70548976,404183.07436081,0.00013709,8.50262539E-06,1.00782663E-13,0.96693666,"1980-06-21 05:34:21.239177 UTC",1.34820961
"1980-07-19 00:11:55.270943 UTC",-167.00672555,4.17445850,404350.66469554,0.00013715,7.61970875E-06,-3.35183270E-14,0.96685320,"1980-07-19 00:11:55.270943 UTC",1.34876864
"1980-08-15 18:04:36.904252 UTC",-161.92897706,4.48042209,405244.51943009,0.00013703,6.69983485E-06,-8.26083993E-14,0.96737051,"1980-08-15 18:04:36.904252 UTC",1.35175021
"1980-09-12 08:43:28.541935 UTC",-158.07190511,4.59713011,406236.05405157,0.00013699,5.81346516E-06,-3.66213136E-14,0.96900781,"1980-09-12 08:43:28.541935 UTC",1.35505762
