"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-06 08:17:58.410835 UTC to 1980-01-06 08:17:58.410835 UTC", ... , "2080-12-19 12:52:50.486181 UTC to 2080-12-19 12:52:50.486181 UTC"], items=2711"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-06 08:17:58.410835 UTC","2444244.8458149400 JD UTC"
"1980-01-20 03:20:44.215013 UTC","2444258.6394006370 JD UTC"
"1980-02-02 13:58:08.503425 UTC","2444272.0820428636 JD UTC"
"1980-02-16 12:56:45.536050 UTC","2444286.0394159267 JD UTC"
"1980-02-29 19:56:45.324897 UTC","2444299.3310801494 JD UTC"
"1980-03-14 23:34:26.031575 UTC","2444313.4822457360 JD UTC"
"1980-03-28 00:29:02.784218 UTC","2444326.5201711140 JD UTC"
"1980-04-11 07:20:59.803201 UTC","2444340.8062477224 JD UTC"
"1980-04-24 03:12:11.610324 UTC","2444353.6334677120 JD UTC"
"1980-05-08 10:46:41.296052 UTC","2444367.9490890745 JD UTC"
"1980-05-21 05:32:54.600599 UTC","2444380.7311875070 JD UTC"
"1980-06-04 12:00:11.278385 UTC","2444395.0001305370 JD UTC"
"1980-06-17 09:28:15.672438 UTC","2444407.8946258384 JD UTC"
"1980-07-01 14:50:25.764914 UTC","2444422.1183537610 JD UTC"
"1980-07-14 15:28:29.033326 UTC","2444435.1447804784 JD UTC"
"1980-07-28 21:20:30.983461 UTC","2444449.3892474940 JD UTC"
"1980-08-10 22:17:58.278811 UTC","2444462.4291467457 JD UTC"
"1980-08-25 06:39:06.856176 UTC","2444476.7771626874 JD UTC"
"1980-09-07 04:01:24.807193 UTC","2444489.6676482316 JD UTC"
"1980-09-21 15:58:43.260447 UTC","2444504.1657784770 JD UTC"
"1980-10-04 07:22:49.455844 UTC","2444516.8075168500 JD UTC"
"1980-10-18 22:15:00.242327 UTC","2444531.4270861380 JD UTC"
"1980-10-31 09:03:24.099693 UTC","2444543.8773622650 JD UTC"
"1980-11-15 00:32:50.051713 UTC","2444558.5228015245 JD UTC"
"1980-11-27 11:51:19.750247 UTC","2444570.9939785907 JD UTC"
"1980-12-12 01:45:00.931764 UTC","2444585.5729274508 JD UTC"
"1980-12-24 18:00:18.680772 UTC","2444598.2502162126 JD UTC"
"1981-01-08 05:49:56.830394 UTC","2444612.7430188702 JD UTC"
"1981-01-21 02:29:03.187362 UTC","2444625.6035091130 JD UTC"
