"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-06 08:17:58.410835 UTC to 1980-01-06 08:17:58.410835 UTC", ... , "2080-12-19 12:52:50.486181 UTC to 2080-12-19 12:52:50.486181 UTC"], items=2711"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-06 08:17:58.410835 UTC",150.24842245,0.02275991,402491.66177938,0.00013836,1.25194077E-05,0.02453453,0.97622861,"1980-01-06 08:17:58.410835 UTC",1.34256767
"1980-01-20 03:20:44.215013 UTC",-30.12230520,-0.03579554,363256.11198402,0.00017013,-1.55709436E-05,0.00100228,1.08314383,"1980-01-20 03:20:44.215013 UTC",1.21169196
"1980-02-02 13:58:08.503425 UTC",149.31229187,0.00651660,402997.72519222,0.00013866,1.28056548E-05,0.02215051,0.97966079,"1980-02-02 13:58:08.503425 UTC",1.34425572
"1980-02-16 12:56:45.536050 UTC",-30.59488495,-0.01127329,359335.80198466,0.00017401,-1.61409325E-05,-0.01781655,1.09613225,"1980-02-16 12:56:45.536050 UTC",1.19861522
"1980-02-29 19:56:45.324897 UTC",149.03962655,-0.02765386,404037.73348526,0.00013799,1.27723443E-05,0.01884517,0.97741614,"1980-02-29 19:56:45.324897 UTC",1.34772481
"1980-03-14 23:34:26.031575 UTC",-30.99361339,0.01556974,360330.14114278,0.00017276,-1.58704319E-05,-0.04066218,1.09180053,"1980-03-14 23:34:26.031575 UTC",1.20193198
"1980-03-28 00:29:02.784218 UTC",148.33203663,-0.04994234,404097.38535890,0.00013739,1.24973516E-05,0.02192309,0.97322903,"1980-03-28 00:29:02.784218 UTC",1.34792379
"1980-04-11 07:20:59.803201 UTC",-32.26508105,0.01849140,365805.71048509,0.00016715,-1.49982322E-05,-0.05220790,1.07275424,"1980-04-11 07:20:59.803201 UTC",1.22019651
"1980-04-24 03:12:11.610324 UTC",146.53167393,-0.04246913,402099.21778218,0.00013809,1.22923597E-05,0.03278465,0.97347915,"1980-04-24 03:12:11.610324 UTC",1.34125862
"1980-05-08 10:46:41.296052 UTC",-34.52974689,-0.00611024,372041.15666736,0.00016135,-1.42473570E-05,-0.04593726,1.05279363,"1980-05-08 10:46:41.296052 UTC",1.24099572
"1980-05-21 05:32:54.600599 UTC",143.96890491,-0.01415681,398484.11589930,0.00014044,1.24158179E-05,0.04479103,0.98155440,"1980-05-21 05:32:54.600599 UTC",1.32919994
"1980-06-04 12:00:11.278385 UTC",-36.99746419,-0.03659486,374578.70851513,0.00015942,-1.41477636E-05,-0.03063597,1.04679213,"1980-06-04 12:00:11.278385 UTC",1.24946008
"1980-06-17 09:28:15.672438 UTC",141.65983964,0.00744464,395320.38369036,0.00014316,1.28276457E-05,0.04918510,0.99289886,"1980-06-17 09:28:15.672438 UTC",1.31864686
"1980-07-01 14:50:25.764914 UTC",-38.73634289,-0.04710234,372400.33414646,0.00016182,-1.46580250E-05,-0.02217104,1.05628987,"1980-07-01 14:50:25.764914 UTC",1.24219381
"1980-07-14 15:28:29.033326 UTC",140.34885690,0.00215667,394406.12672119,0.00014447,1.32228555E-05,0.04473098,0.99965227,"1980-07-14 15:28:29.033326 UTC",1.31559723
"1980-07-28 21:20:30.983461 UTC",-39.48053881,-0.03004006,368324.81370829,0.00016574,-1.52910584E-05,-0.02835392,1.07036231,"1980-07-28 21:20:30.983461 UTC",1.22859933
"1980-08-10 22:17:58.278811 UTC",139.91214008,-0.02664657,395620.82886102,0.00014392,1.33160383E-05,0.03760032,0.99871522,"1980-08-10 22:17:58.278811 UTC",1.31964904
"1980-08-25 06:39:06.856176 UTC",-39.76548440,8.37211581E-05,366020.61247244,0.00016770,-1.54865201E-05,-0.04578894,1.07687084,"1980-08-25 06:39:06.856176 UTC",1.22091334
"1980-09-07 04:01:24.807193 UTC",139.55178444,-0.05729048,397277.32377305,0.00014249,1.30727933E-05,0.03533758,0.99280098,"1980-09-07 04:01:24.807193 UTC",1.32517451
"1980-09-21 15:58:43.260447 UTC",-40.51802689,0.01787966,367995.50602179,0.00016540,-1.49996481E-05,-0.06393781,1.06860510,"1980-09-21 15:58:43.260447 UTC",1.22750088
"1980-10-04 07:22:49.455844 UTC",138.36955189,-0.06538648,397099.77635222,0.00014194,1.27437235E-05,0.04293139,0.98864002,"1980-10-04 07:22:49.455844 UTC",1.32458228
"1980-10-18 22:15:00.242327 UTC",-42.38323815,0.00544820,374249.03453703,0.00015938,-1.41365182E-05,-0.06960572,1.04747064,"1980-10-18 22:15:00.242327 UTC",1.24836041
"1980-10-31 09:03:24.099693 UTC",136.05336027,-0.04252477,393433.34097793,0.00014403,1.27190783E-05,0.05818525,0.99455993,"1980-10-31 09:03:24.099693 UTC",1.31235236
"1980-11-15 00:32:50.051713 UTC",-45.05113132,-0.02912525,380990.61424868,0.00015374,-1.35629807E-05,-0.05750962,1.02788215,"1980-11-15 00:32:50.051713 UTC",1.27084790
"1980-11-27 11:51:19.750247 UTC",133.33015670,-0.00855498,387395.24635972,0.00014870,1.31947594E-05,0.06875962,1.01171496,"1980-11-27 11:51:19.750247 UTC",1.29221145
"1980-12-12 01:45:00.931764 UTC",-47.37783596,-0.05459989,383247.57120709,0.00015253,-1.36848585E-05,-0.04049776,1.02516653,"1980-12-12 01:45:00.931764 UTC",1.27837629
"1980-12-24 18:00:18.680772 UTC",131.40616187,0.00375942,382991.30423835,0.00015288,1.38710709E-05,0.06420329,1.02810747,"1980-12-24 18:00:18.680772 UTC",1.27752148
"1981-01-08 05:49:56.830394 UTC",-48.54567215,-0.04828531,380688.45939891,0.00015525,-1.42495663E-05,-0.03621428,1.03649124,"1981-01-08 05:49:56.830394 UTC",1.26984002
"1981-01-21 02:29:03.187362 UTC",130.68356905,-0.01632736,382841.77495290,0.00015361,1.41880241E-05,0.04971072,1.03196267,"1981-01-21 02:29:03.187362 UTC",1.27702270
