"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-09 11:24:52.126002 UTC to 1980-01-09 11:24:52.126002 UTC", ... , "2080-12-19 14:06:26.309514 UTC to 2080-12-19 14:06:26.309514 UTC"], items=2700"
"Step","1 days"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-09 11:24:52.126002 UTC",-172.71719331,3.14616456,403907.30364955,0.00013705,9.88753882E-06,-0.01665960,0.96732166,"1980-01-09 11:24:52.126002 UTC",1.34728974
"1980-01-22 17:19:27.872196 UTC",7.47872401,-3.23015053,367563.22012719,0.00016596,-1.19749117E-05,0.03400684,1.06629340,"1980-01-22 17:19:27.872196 UTC",1.22605893
"1980-02-05 19:32:38.898344 UTC",-172.38950953,3.28660706,405332.28031633,0.00013665,9.89737446E-06,-0.00867988,0.96772959,"1980-02-05 19:32:38.898344 UTC",1.35204295
"1980-02-19 01:57:41.227858 UTC",7.62755259,-3.29391517,361294.78660196,0.00017223,-1.24904770E-05,0.03357562,1.08759916,"1980-02-19 01:57:41.227858 UTC",1.20514969
"1980-03-04 02:03:26.060415 UTC",-172.41869002,3.27410493,406097.79410637,0.00013684,9.87939420E-06,-0.00533786,0.97084355,"1980-03-04 02:03:26.060415 UTC",1.35459643
"1980-03-17 12:32:31.097864 UTC",7.54159664,-3.25708944,357373.49050217,0.00017639,-1.26069476E-05,0.01538754,1.10132972,"1980-03-17 12:32:31.097864 UTC",1.19206965
"1980-03-31 08:00:08.785190 UTC",-172.50951383,3.23518778,406091.49725643,0.00013709,9.61661555E-06,-0.00652944,0.97253210,"1980-03-31 08:00:08.785190 UTC",1.35457543
"1980-04-13 23:39:32.027215 UTC",7.56063136,-3.26524360,358386.76504185,0.00017542,-1.19979344E-05,-0.00698804,1.09804298,"1980-04-13 23:39:32.027215 UTC",1.19544957
"1980-04-27 14:40:42.468786 UTC",-172.34632275,3.30510180,405511.97941805,0.00013715,9.13284035E-06,-0.00784560,0.97124668,"1980-04-27 14:40:42.468786 UTC",1.35264237
"1980-05-11 09:37:46.240528 UTC",7.89153768,-3.40694098,363130.76947172,0.00017061,-1.10064761E-05,-0.01846091,1.08179673,"1980-05-11 09:37:46.240528 UTC",1.21127387
"1980-05-24 22:40:52.790484 UTC",-171.86507050,3.51106544,404707.14592299,0.00013712,8.64433042E-06,-0.00607518,0.96867551,"1980-05-24 22:40:52.790484 UTC",1.34995773
"1980-06-07 17:35:08.925276 UTC",8.45204915,-3.64660124,368051.33703253,0.00016579,-1.02026703E-05,-0.01349568,1.06495083,"1980-06-07 17:35:08.925276 UTC",1.22768711
"1980-06-21 07:36:52.960123 UTC",-171.26495540,3.76742399,404178.45260669,0.00013712,8.34589896E-06,-0.00125676,0.96699619,"1980-06-21 07:36:52.960123 UTC",1.34819420
"1980-07-04 23:57:43.538805 UTC",8.98516976,-3.87410879,369641.94320790,0.00016431,-9.90775301E-06,0.00195929,1.05953258,"1980-07-04 23:57:43.538805 UTC",1.23299280
"1980-07-18 16:27:19.903526 UTC",-170.82990334,3.95292015,404285.42891701,0.00013717,8.27033899E-06,0.00466529,0.96734236,"1980-07-18 16:27:19.903526 UTC",1.34855103
"1980-08-01 06:14:26.943940 UTC",9.26132672,-3.99177919,366727.21257169,0.00016718,-1.00822563E-05,0.01506689,1.06952718,"1980-08-01 06:14:26.943940 UTC",1.22327031
"1980-08-15 00:15:56.921241 UTC",-170.72058567,3.99948121,404949.38940241,0.00013726,8.27765332E-06,0.00904716,0.96957024,"1980-08-15 00:15:56.921241 UTC",1.35076577
"1980-08-28 14:01:18.540843 UTC",9.23746291,-3.98161393,361367.18678729,0.00017258,-1.03699743E-05,0.01427673,1.08787451,"1980-08-28 14:01:18.540843 UTC",1.20539119
"1980-09-11 06:50:12.058802 UTC",-170.85024856,3.94424882,405760.39847201,0.00013732,8.14830664E-06,0.00991936,0.97195271,"1980-09-11 06:50:12.058802 UTC",1.35347100
"1980-09-24 23:57:41.553572 UTC",9.10852310,-3.92668074,357449.85675199,0.00017662,-1.02720395E-05,-0.00245452,1.10114986,"1980-09-24 23:57:41.553572 UTC",1.19232438
"1980-10-08 12:50:31.419969 UTC",-170.93273364,3.90909781,406272.49197787,0.00013718,7.74989727E-06,0.00830586,0.97202483,"1980-10-08 12:50:31.419969 UTC",1.35517916
"1980-10-22 11:15:57.632108 UTC",9.17542073,-3.95518248,357985.44519510,0.00017600,-9.56031517E-06,-0.02515019,1.09895392,"1980-10-22 11:15:57.632108 UTC",1.19411091
"1980-11-04 19:21:26.114944 UTC",-170.70868935,4.00454206,406102.47555142,0.00013690,7.17145260E-06,0.00840419,0.96933486,"1980-11-04 19:21:26.114944 UTC",1.35461205
"1980-11-18 22:02:42.147716 UTC",9.57746082,-4.12632363,363000.10241966,0.00017083,-8.55188193E-06,-0.03830048,1.08155632,"1980-11-18 22:02:42.147716 UTC",1.21083801
"1980-12-02 03:05:35.110977 UTC",-170.18040961,4.22926142,405036.02513380,0.00013697,6.66898555E-06,0.01353995,0.96685006,"1980-12-02 03:05:35.110977 UTC",1.35105475
"1980-12-16 06:32:39.593374 UTC",10.14540129,-4.36761293,369072.45188595,0.00016497,-7.79352779E-06,-0.03272636,1.06126179,"1980-12-16 06:32:39.593374 UTC",1.23109318
"1980-12-29 11:53:08.286031 UTC",-169.63108238,4.46241558,403346.08983352,0.00013779,6.44333419E-06,0.02213108,0.96835294,"1980-12-29 11:53:08.286031 UTC",1.34541774
