"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-09 11:24:52.126002 UTC to 1980-01-09 11:24:52.126002 UTC", ... , "2080-12-19 14:06:26.309514 UTC to 2080-12-19 14:06:26.309514 UTC"], items=2700"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-09 11:24:52.126002 UTC","2444247.9756033104 JD UTC"
"1980-01-22 17:19:27.872196 UTC","2444261.2218503730 JD UTC"
"1980-02-05 19:32:38.898344 UTC","2444275.3143391013 JD UTC"
"1980-02-19 01:57:41.227858 UTC","2444288.5817271740 JD UTC"
"1980-03-04 02:03:26.060415 UTC","2444302.5857182920 JD UTC"
"1980-03-17 12:32:31.097864 UTC","2444316.0225821510 JD UTC"
"1980-03-31 08:00:08.785190 UTC","2444329.8334350140 JD UTC"
"1980-04-13 23:39:32.027215 UTC","2444343.4857873520 JD UTC"
"1980-04-27 14:40:42.468786 UTC","2444357.1116026480 JD UTC"
"1980-05-11 09:37:46.240528 UTC","2444370.9012296360 JD UTC"
"1980-05-24 22:40:52.790484 UTC","2444384.4450554450 JD UTC"
"1980-06-07 17:35:08.925276 UTC","2444398.2327421910 JD UTC"
"1980-06-21 07:36:52.960123 UTC","2444411.8172796313 JD UTC"
"1980-07-04 23:57:43.538805 UTC","2444425.4984205880 JD UTC"
"1980-07-18 16:27:19.903526 UTC","2444439.1856470318 JD UTC"
"1980-08-01 06:14:26.943940 UTC","2444452.7600340736 JD UTC"
"1980-08-15 00:15:56.921241 UTC","2444466.5110754770 JD UTC"
"1980-08-28 14:01:18.540843 UTC","2444480.0842423710 JD UTC"
"1980-09-11 06:50:12.058802 UTC","2444493.7848617920 JD UTC"
"1980-09-24 23:57:41.553572 UTC","2444507.4983976106 JD UTC"
"1980-10-08 12:50:31.419969 UTC","2444521.0350858793 JD UTC"
"1980-10-22 11:15:57.632108 UTC","2444534.9694170384 JD UTC"
"1980-11-04 19:21:26.114944 UTC","2444548.3065522565 JD UTC"
"1980-11-18 22:02:42.147716 UTC","2444562.4185433765 JD UTC"
"1980-12-02 03:05:35.110977 UTC","2444575.6288785995 JD UTC"
"1980-12-16 06:32:39.593374 UTC","2444589.7726804786 JD UTC"
"1980-12-29 11:53:08.286031 UTC","2444602.9952347920 JD UTC"
"1981-01-12 12:45:06.804255 UTC","2444617.0313287530 JD UTC"
"1981-01-25 20:48:57.416035 UTC","2444630.3673312040 JD UTC"
