"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-02 09:32:43.850094 UTC to 1980-01-02 09:32:43.850094 UTC", ... , "2080-12-26 17:11:34.401613 UTC to 2080-12-26 17:11:34.401613 UTC"], items=1250"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-02 09:32:43.850094 UTC","2444240.8977297465 JD UTC"
"1980-02-01 02:41:43.412850 UTC","2444270.6123080193 JD UTC"
"1980-03-01 20:45:56.347099 UTC","2444300.3652354986 JD UTC"
"1980-03-31 14:41:11.878503 UTC","2444330.1119430380 JD UTC"
"1980-04-30 07:19:25.212899 UTC","2444359.8051529270 JD UTC"
"1980-05-29 21:43:19.299246 UTC","2444389.4050844820 JD UTC"
"1980-06-28 09:31:34.098724 UTC","2444418.8969224390 JD UTC"
"1980-07-27 19:08:42.285643 UTC","2444448.2977116390 JD UTC"
"1980-08-26 03:31:03.119855 UTC","2444477.6465638870 JD UTC"
"1980-09-24 11:43:17.911538 UTC","2444506.9884017540 JD UTC"
"1980-10-23 20:39:23.946038 UTC","2444536.3606938200 JD UTC"
"1980-11-22 06:52:28.231621 UTC","2444565.7864378660 JD UTC"
"1980-12-21 18:35:21.405618 UTC","2444595.2745533060 JD UTC"
"1981-01-20 07:50:35.218074 UTC","2444624.8267965056 JD UTC"
"1981-02-18 22:38:57.665970 UTC","2444654.4437229857 JD UTC"
"1981-03-20 14:51:47.834197 UTC","2444684.1193036367 JD UTC"
"1981-04-19 07:51:03.968017 UTC","2444713.8271292592 JD UTC"
"1981-05-19 00:27:59.625578 UTC","2444743.5194401110 JD UTC"
"1981-06-17 15:36:07.901646 UTC","2444773.1500914544 JD UTC"
"1981-07-17 04:47:27.415452 UTC","2444802.6996228640 JD UTC"
"1981-08-15 16:17:09.926040 UTC","2444832.1785871070 JD UTC"
"1981-09-14 02:43:04.066062 UTC","2444861.6132415053 JD UTC"
"1981-10-13 12:43:24.283439 UTC","2444891.0301421694 JD UTC"
"1981-11-11 22:45:23.844403 UTC","2444920.4481926435 JD UTC"
"1981-12-11 09:05:26.336089 UTC","2444949.8787770380 JD UTC"
"1982-01-09 19:56:25.732674 UTC","2444979.3308533872 JD UTC"
"1982-02-08 07:35:09.216916 UTC","2445008.8160788994 JD UTC"
"1982-03-09 20:20:32.467379 UTC","2445038.3475980023 JD UTC"
"1982-04-08 10:19:23.991284 UTC","2445067.9301387880 JD UTC"
