"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-02 09:32:43.850094 UTC to 1980-01-02 09:32:43.850094 UTC", ... , "2080-12-26 17:11:34.401613 UTC to 2080-12-26 17:11:34.401613 UTC"], items=1250"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-02 09:32:43.850094 UTC",101.39348610,-3.86107516,389921.10670407,0.00014892,8.73806399E-06,0.04182217,1.01378688,"1980-01-02 09:32:43.850094 UTC",1.30063681
"1980-02-01 02:41:43.412850 UTC",131.54966646,-1.60619880,399657.99941542,0.00014122,1.23921555E-05,0.02988661,0.98893093,"1980-02-01 02:41:43.412850 UTC",1.33311559
"1980-03-01 20:45:56.347099 UTC",161.32935140,1.10117799,405410.39415502,0.00013717,1.24035339E-05,0.01183249,0.97442467,"1980-03-01 20:45:56.347099 UTC",1.35230351
"1980-03-31 14:41:11.878503 UTC",-169.20837588,3.46109593,405909.60004213,0.00013728,9.15453051E-06,-0.00858411,0.97301476,"1980-03-31 14:41:11.878503 UTC",1.35396868
"1980-04-30 07:19:25.212899 UTC",-140.02408879,4.81771379,401216.53150136,0.00014101,3.46366850E-06,-0.02724576,0.98458325,"1980-04-30 07:19:25.212899 UTC",1.33831429
"1980-05-29 21:43:19.299246 UTC",-111.22631517,4.83472810,392615.92290346,0.00014722,-3.45681286E-06,-0.04041551,1.00634462,"1980-05-29 21:43:19.299246 UTC",1.30962575
"1980-06-28 09:31:34.098724 UTC",-82.91939077,3.56641486,382091.90227535,0.00015484,-1.00182351E-05,-0.04568705,1.03373527,"1980-06-28 09:31:34.098724 UTC",1.27452140
"1980-07-27 19:08:42.285643 UTC",-54.98729047,1.38336660,371678.40864216,0.00016293,-1.44853883E-05,-0.04238251,1.06166334,"1980-07-27 19:08:42.285643 UTC",1.23978572
"1980-08-26 03:31:03.119855 UTC",-27.05662577,-1.16338849,363113.71163575,0.00017052,-1.53449798E-05,-0.03121107,1.08528418,"1980-08-26 03:31:03.119855 UTC",1.21121697
"1980-09-24 11:43:17.911538 UTC",1.33581729,-3.43938122,357811.52510170,0.00017609,-1.18046576E-05,-0.01394285,1.10023813,"1980-09-24 11:43:17.911538 UTC",1.19353078
"1980-10-23 20:39:23.946038 UTC",30.47558708,-4.81146925,356835.10441935,0.00017768,-4.47434137E-06,0.00646616,1.10308353,"1980-10-23 20:39:23.946038 UTC",1.19027379
"1980-11-22 06:52:28.231621 UTC",60.27077828,-4.81782147,360650.51992419,0.00017406,4.27459772E-06,0.02584629,1.09240825,"1980-11-22 06:52:28.231621 UTC",1.20300064
"1980-12-21 18:35:21.405618 UTC",90.32714891,-3.39736180,368768.66251801,0.00016604,1.12303364E-05,0.03978970,1.06999266,"1980-12-21 18:35:21.405618 UTC",1.23007985
