"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-17 21:44:41.395938 UTC to 1980-01-17 21:44:41.395938 UTC", ... , "2080-12-11 07:01:34.155673 UTC to 2080-12-11 07:01:34.155673 UTC"], items=1249"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-17 21:44:41.395938 UTC","2444256.4060346754 JD UTC"
"1980-02-16 08:53:43.817635 UTC","2444285.8706460376 JD UTC"
"1980-03-16 18:35:26.817456 UTC","2444315.2746159430 JD UTC"
"1980-04-15 03:24:30.939547 UTC","2444344.6420247634 JD UTC"
"1980-05-14 11:59:55.150162 UTC","2444373.9999438680 JD UTC"
"1980-06-12 21:02:07.832878 UTC","2444403.3764795470 JD UTC"
"1980-07-12 07:12:30.773040 UTC","2444432.8003561690 JD UTC"
"1980-08-10 19:12:10.397894 UTC","2444462.3001203460 JD UTC"
"1980-09-09 09:33:46.725396 UTC","2444491.8984574700 JD UTC"
"1980-10-09 02:20:43.975502 UTC","2444521.5977311977 JD UTC"
"1980-11-07 20:43:19.611758 UTC","2444551.3634214320 JD UTC"
"1980-12-07 15:04:18.075279 UTC","2444581.1279869825 JD UTC"
"1981-01-06 07:48:31.510786 UTC","2444610.8253647080 JD UTC"
"1981-02-04 22:09:08.576105 UTC","2444640.4230159270 JD UTC"
"1981-03-06 10:06:21.005904 UTC","2444669.9210764570 JD UTC"
"1981-04-04 20:02:11.077220 UTC","2444699.3348504310 JD UTC"
"1981-05-04 04:26:20.664330 UTC","2444728.6849613925 JD UTC"
"1981-06-02 11:56:30.180106 UTC","2444757.9975715290 JD UTC"
"1981-07-01 19:22:23.826912 UTC","2444787.3072202187 JD UTC"
"1981-07-31 03:46:21.917138 UTC","2444816.6571981153 JD UTC"
"1981-08-29 14:16:01.625801 UTC","2444846.0944632620 JD UTC"
"1981-09-28 03:45:04.401343 UTC","2444875.6563009415 JD UTC"
"1981-10-27 20:22:36.661509 UTC","2444905.3490354340 JD UTC"
"1981-11-26 15:11:59.596676 UTC","2444935.1333286650 JD UTC"
"1981-12-26 10:31:02.562476 UTC","2444964.9382241030 JD UTC"
"1982-01-25 04:42:36.684102 UTC","2444994.6962579177 JD UTC"
"1982-02-23 20:43:57.177356 UTC","2445024.3638562190 JD UTC"
"1982-03-25 10:04:52.924132 UTC","2445053.9200569920 JD UTC"
"1982-04-23 20:43:23.772786 UTC","2445083.3634695923 JD UTC"
