"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-17 21:44:41.395938 UTC to 1980-01-17 21:44:41.395938 UTC", ... , "2080-12-11 07:01:34.155673 UTC to 2080-12-11 07:01:34.155673 UTC"], items=1249"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-17 21:44:41.395938 UTC",-62.81910484,2.79469189,366726.45434722,0.00016766,-1.28798434E-05,-0.03669494,1.07562614,"1980-01-17 21:44:41.395938 UTC",1.22326778
"1980-02-16 08:53:43.817635 UTC",-33.13028618,0.22384118,359621.80620280,0.00017374,-1.61008155E-05,-0.02140439,1.09533844,"1980-02-16 08:53:43.817635 UTC",1.19956922
"1980-03-16 18:35:26.817456 UTC",-3.87018493,-2.38128207,356933.12777022,0.00017660,-1.43947928E-05,-0.00184374,1.10283946,"1980-03-16 18:35:26.817456 UTC",1.19060076
"1980-04-15 03:24:30.939547 UTC",25.10533267,-4.29141547,358940.55847240,0.00017539,-8.36264025E-06,0.01809408,1.09706225,"1980-04-15 03:24:30.939547 UTC",1.19729683
"1980-05-14 11:59:55.150162 UTC",53.83079449,-5.00777923,365139.48838146,0.00016998,-2.52545684E-07,0.03444651,1.07965566,"1980-05-14 11:59:55.150162 UTC",1.21797423
"1980-06-12 21:02:07.832878 UTC",82.23090774,-4.38066609,374372.75888381,0.00016154,7.19299643E-06,0.04402898,1.05437276,"1980-06-12 21:02:07.832878 UTC",1.24877311
"1980-07-12 07:12:30.773040 UTC",110.30992179,-2.61592625,385016.56934081,0.00015223,1.19844323E-05,0.04519708,1.02607636,"1980-07-12 07:12:30.773040 UTC",1.28427704
"1980-08-10 19:12:10.397894 UTC",138.30599894,-0.17521962,395199.84099824,0.00014423,1.33371723E-05,0.03792274,0.99979636,"1980-08-10 19:12:10.397894 UTC",1.31824477
"1980-09-09 09:33:46.725396 UTC",166.65009585,2.33761425,402983.61200746,0.00013898,1.13478666E-05,0.02342328,0.98022142,"1980-09-09 09:33:46.725396 UTC",1.34420864
"1980-10-09 02:20:43.975502 UTC",-164.26613417,4.25778362,406572.77393033,0.00013711,6.58088302E-06,0.00404540,0.97140559,"1980-10-09 02:20:43.975502 UTC",1.35618079
