"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-13 18:38:11.018429 UTC to 1980-01-13 18:38:11.018429 UTC", ... , "2080-12-26 05:05:01.003099 UTC to 2080-12-26 05:05:01.003099 UTC"], items=1356"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-13 18:38:11.018429 UTC","2444252.2765164170 JD UTC"
"1980-02-10 02:10:08.707668 UTC","2444279.5903785610 JD UTC"
"1980-03-08 08:29:12.702829 UTC","2444306.8536192460 JD UTC"
"1980-04-04 12:19:35.524568 UTC","2444334.0136056086 JD UTC"
"1980-05-01 14:22:11.042239 UTC","2444361.0987389150 JD UTC"
"1980-05-28 16:37:35.482430 UTC","2444388.1927717873 JD UTC"
"1980-06-24 20:52:20.415310 UTC","2444415.3696807330 JD UTC"
"1980-07-22 03:18:26.620321 UTC","2444442.6378081054 JD UTC"
"1980-08-18 10:26:12.157777 UTC","2444469.9348629373 JD UTC"
"1980-09-14 16:07:40.075531 UTC","2444497.1719916150 JD UTC"
"1980-10-11 19:10:28.461324 UTC","2444524.2989405245 JD UTC"
"1980-11-07 20:26:16.572214 UTC","2444551.3515806970 JD UTC"
"1980-12-04 22:23:04.318794 UTC","2444578.4326888750 JD UTC"
"1981-01-01 02:58:27.001308 UTC","2444605.6239236263 JD UTC"
"1981-01-28 09:51:55.779890 UTC","2444632.9110622670 JD UTC"
"1981-02-24 16:45:52.057477 UTC","2444660.1985191840 JD UTC"
"1981-03-23 21:25:29.605540 UTC","2444687.3927037680 JD UTC"
"1981-04-19 23:29:49.919844 UTC","2444714.4790499983 JD UTC"
"1981-05-17 00:45:35.044705 UTC","2444741.5316556100 JD UTC"
"1981-06-13 03:33:14.485654 UTC","2444768.6480843250 JD UTC"
"1981-07-10 08:53:38.073252 UTC","2444795.8705795514 JD UTC"
"1981-08-06 15:51:22.489528 UTC","2444823.1606769620 JD UTC"
"1981-09-02 22:22:07.154273 UTC","2444850.4320272487 JD UTC"
"1981-09-30 02:40:01.375693 UTC","2444877.6111270334 JD UTC"
"1981-10-27 04:39:51.021245 UTC","2444904.6943405240 JD UTC"
"1981-11-23 06:12:43.843923 UTC","2444931.7588407863 JD UTC"
"1981-12-20 09:40:12.774029 UTC","2444958.9029256254 JD UTC"
"1982-01-16 15:52:39.260945 UTC","2444986.1615655203 JD UTC"
"1982-02-12 23:23:03.573255 UTC","2445013.4743469125 JD UTC"
