"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-13 18:38:11.018429 UTC to 1980-01-13 18:38:11.018429 UTC", ... , "2080-12-26 05:05:01.003099 UTC to 2080-12-26 05:05:01.003099 UTC"], items=1356"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-13 18:38:11.018429 UTC",-119.80773345,5.19015676,387296.35148094,0.00015035,-6.25119591E-08,-0.06467739,1.01420360,"1980-01-13 18:38:11.018429 UTC",1.29188157
"1980-02-10 02:10:08.707668 UTC",-120.60351463,5.29484814,391856.22629959,0.00014636,-1.39525767E-08,-0.06228316,0.99863636,"1980-02-10 02:10:08.707668 UTC",1.30709168
"1980-03-08 08:29:12.702829 UTC",-121.10918957,5.26490909,396217.61155259,0.00014332,5.11884386E-08,-0.04986691,0.98815146,"1980-03-08 08:29:12.702829 UTC",1.32163969
"1980-04-04 12:19:35.524568 UTC",-122.18013061,5.13216693,398228.23076409,0.00014254,7.56839973E-08,-0.03738909,0.98748021,"1980-04-04 12:19:35.524568 UTC",1.32834639
"1980-05-01 14:22:11.042239 UTC",-124.13150036,5.01632243,397817.09144956,0.00014342,4.02770213E-08,-0.03334280,0.99254032,"1980-05-01 14:22:11.042239 UTC",1.32697498
"1980-05-28 16:37:35.482430 UTC",-126.48810137,5.01615387,396726.01705750,0.00014419,-2.30101457E-08,-0.03753227,0.99526290,"1980-05-28 16:37:35.482430 UTC",1.32333555
"1980-06-24 20:52:20.415310 UTC",-128.41121949,5.12675013,396674.82286070,0.00014367,-5.57737892E-08,-0.04292989,0.99160409,"1980-06-24 20:52:20.415310 UTC",1.32316478
"1980-07-22 03:18:26.620321 UTC",-129.47197036,5.25133595,398253.52316626,0.00014193,-2.87765456E-08,-0.04334356,0.98335128,"1980-07-22 03:18:26.620321 UTC",1.32843076
"1980-08-18 10:26:12.157777 UTC",-129.97570965,5.28555787,401004.98565675,0.00013979,3.46015856E-08,-0.03697627,0.97493827,"1980-08-18 10:26:12.157777 UTC",1.33760865
"1980-09-14 16:07:40.075531 UTC",-130.67052391,5.19751237,403698.85175577,0.00013831,8.32747835E-08,-0.02643639,0.97086138,"1980-09-14 16:07:40.075531 UTC",1.34659442
"1980-10-11 19:10:28.461324 UTC",-132.19349494,5.05624624,405019.78055292,0.00013811,7.68470991E-08,-0.01801101,0.97263746,"1980-10-11 19:10:28.461324 UTC",1.35100057
"1980-11-07 20:26:16.572214 UTC",-134.52832510,4.98651294,404820.82488623,0.00013863,1.69294414E-08,-0.01645753,0.97589825,"1980-11-07 20:26:16.572214 UTC",1.35033692
"1980-12-04 22:23:04.318794 UTC",-136.88503040,5.05795307,404178.72896812,0.00013870,-4.44141878E-08,-0.01824425,0.97478900,"1980-12-04 22:23:04.318794 UTC",1.34819512
"1981-01-01 02:58:27.001308 UTC",-138.41375896,5.20497815,403924.84650954,0.00013812,-5.04025764E-08,-0.01607986,0.96985955,"1981-01-01 02:58:27.001308 UTC",1.34734826
"1981-01-28 09:51:55.779890 UTC",-139.08494279,5.28690144,404196.84624540,0.00013754,8.12270007E-11,-0.00857827,0.96618401,"1981-01-28 09:51:55.779890 UTC",1.34825555
"1981-02-24 16:45:52.057477 UTC",-139.66594593,5.22842948,404855.95958148,0.00013738,5.60804912E-08,1.81067184E-05,0.96669184,"1981-02-24 16:45:52.057477 UTC",1.35045412
"1981-03-23 21:25:29.605540 UTC",-140.96889539,5.08700619,405608.66395188,0.00013757,6.45366742E-08,0.00501355,0.97002858,"1981-03-23 21:25:29.605540 UTC",1.35296487
"1981-04-19 23:29:49.919844 UTC",-143.12571274,4.99280697,406164.58169491,0.00013765,1.65754144E-08,0.00559486,0.97210400,"1981-04-19 23:29:49.919844 UTC",1.35481921
"1981-05-17 00:45:35.044705 UTC",-145.47280818,5.02709874,406195.58920636,0.00013744,-4.40486851E-08,0.00618143,0.97064536,"1981-05-17 00:45:35.044705 UTC",1.35492264
