"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-02 01:59:01.834919 UTC to 1980-01-02 01:59:01.834919 UTC", ... , "2080-12-26 07:11:06.584913 UTC to 2080-12-26 07:11:06.584913 UTC"], items=1351"
"Step","1 days"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-02 01:59:01.834919 UTC",97.32659130,-4.08956676,388787.05432682,0.00014987,8.03982528E-06,0.04146453,1.01668199,"1980-01-02 01:59:01.834919 UTC",1.29685402
"1980-01-29 09:35:19.486309 UTC",97.75869018,-4.12093752,391594.31882933,0.00014734,8.36571936E-06,0.03811495,1.00674296,"1980-01-29 09:35:19.486309 UTC",1.30621805
"1980-02-25 15:24:10.923724 UTC",97.86316474,-4.14774987,392037.83464040,0.00014625,8.41318298E-06,0.04779266,1.00083962,"1980-02-25 15:24:10.923724 UTC",1.30769746
"1980-03-23 21:25:46.673282 UTC",97.81894101,-4.06045293,388686.82772040,0.00014829,8.48845023E-06,0.06304725,1.00707121,"1980-03-23 21:25:46.673282 UTC",1.29651970
"1980-04-20 05:27:04.344423 UTC",97.91351616,-3.85319126,383522.99986201,0.00015244,8.84464455E-06,0.07112126,1.02230944,"1980-04-20 05:27:04.344423 UTC",1.27929502
"1980-05-17 15:28:13.845320 UTC",98.28772282,-3.61993565,379874.20102554,0.00015594,9.48885047E-06,0.06641308,1.03587806,"1980-05-17 15:28:13.845320 UTC",1.26712394
"1980-06-14 01:59:51.387347 UTC",98.83192395,-3.46618520,379502.63689273,0.00015676,1.01723283E-05,0.05355083,1.04000496,"1980-06-14 01:59:51.387347 UTC",1.26588454
"1980-07-11 11:17:55.432629 UTC",99.30089111,-3.42785140,381888.45778434,0.00015493,1.05858560E-05,0.04185245,1.03405004,"1980-07-11 11:17:55.432629 UTC",1.27384278
"1980-08-07 18:26:53.881675 UTC",99.51134296,-3.45092274,384855.49455668,0.00015216,1.06282924E-05,0.03955329,1.02348316,"1980-08-07 18:26:53.881675 UTC",1.28373975
"1980-09-03 23:56:47.686459 UTC",99.47581292,-3.43094511,385605.25335806,0.00015091,1.05036075E-05,0.04925494,1.01750322,"1980-09-03 23:56:47.686459 UTC",1.28624067
"1980-10-01 05:38:56.220416 UTC",99.39869696,-3.28950296,382498.32422187,0.00015293,1.05690040E-05,0.06462953,1.02375013,"1980-10-01 05:38:56.220416 UTC",1.27587707
"1980-10-28 13:33:52.809636 UTC",99.52884061,-3.04173642,376833.57521132,0.00015768,1.10670421E-05,0.07323277,1.04075682,"1980-10-28 13:33:52.809636 UTC",1.25698151
"1980-11-25 00:08:09.015351 UTC",99.94799388,-2.79510162,372196.41130705,0.00016221,1.19020630E-05,0.06679798,1.05739298,"1980-11-25 00:08:09.015351 UTC",1.24151359
"1980-12-22 11:41:27.436804 UTC",100.46898606,-2.66071930,371512.88581973,0.00016334,1.26188201E-05,0.04908179,1.06225761,"1980-12-22 11:41:27.436804 UTC",1.23923360
"1981-01-18 21:41:05.496920 UTC",100.79215997,-2.64746427,374771.53046477,0.00016055,1.27832256E-05,0.03341449,1.05288533,"1981-01-18 21:41:05.496920 UTC",1.25010326
"1981-02-15 04:44:20.213118 UTC",100.79577085,-2.64908365,378785.81173559,0.00015665,1.24763869E-05,0.03236691,1.03827129,"1981-02-15 04:44:20.213118 UTC",1.26349347
"1981-03-14 09:56:02.025040 UTC",100.64402445,-2.54758749,379398.11114540,0.00015551,1.22226392E-05,0.04629496,1.03292984,"1981-03-14 09:56:02.025040 UTC",1.26553588
"1981-04-10 15:54:55.972970 UTC",100.61266055,-2.32354805,375378.13582184,0.00015864,1.24526882E-05,0.06203321,1.04351563,"1981-04-10 15:54:55.972970 UTC",1.25212668
"1981-05-08 00:25:50.087740 UTC",100.84612897,-2.06345573,369561.90866747,0.00016396,1.31754673E-05,0.06583715,1.06231486,"1981-05-08 00:25:50.087740 UTC",1.23272584
"1981-06-04 11:03:22.717528 UTC",101.25374559,-1.87692979,365721.08677816,0.00016792,1.40134986E-05,0.05492131,1.07636446,"1981-06-04 11:03:22.717528 UTC",1.21991423
"1981-07-01 21:58:06.322551 UTC",101.60099514,-1.80925144,365750.74151664,0.00016822,1.44737751E-05,0.03677919,1.07790998,"1981-07-01 21:58:06.322551 UTC",1.22001315
"1981-07-29 07:17:08.196992 UTC",101.70245259,-1.81182431,369115.33756004,0.00016511,1.43282409E-05,0.02286991,1.06738488,"1981-07-29 07:17:08.196992 UTC",1.23123624
"1981-08-25 14:08:11.671768 UTC",101.56482796,-1.78033353,373206.40836897,0.00016107,1.38189669E-05,0.02225385,1.05275808,"1981-08-25 14:08:11.671768 UTC",1.24488258
"1981-09-21 19:20:10.232416 UTC",101.38089970,-1.63394081,374476.85772880,0.00015948,1.34824093E-05,0.03534780,1.04626337,"1981-09-21 19:20:10.232416 UTC",1.24912034
"1981-10-19 01:08:32.683120 UTC",101.38024658,-1.38188767,371035.92216463,0.00016231,1.37455866E-05,0.05132119,1.05577180,"1981-10-19 01:08:32.683120 UTC",1.23764262
"1981-11-15 09:37:30.327025 UTC",101.64559312,-1.12351220,364821.89088804,0.00016819,1.45993140E-05,0.05530407,1.07617270,"1981-11-15 09:37:30.327025 UTC",1.21691484
"1981-12-12 20:49:11.691232 UTC",102.02118747,-0.97032004,360219.49342411,0.00017299,1.55111951E-05,0.04130570,1.09260816,"1981-12-12 20:49:11.691232 UTC",1.20156289
"1982-01-09 08:35:06.569251 UTC",102.22446994,-0.94169731,360442.28528493,0.00017302,1.57752594E-05,0.01803332,1.09296961,"1982-01-09 08:35:06.569251 UTC",1.20230605
"1982-02-05 18:17:15.613583 UTC",102.11973637,-0.93687403,365076.61571118,0.00016845,1.52291023E-05,0.00249440,1.07753974,"1982-02-05 18:17:15.613583 UTC",1.21776451
"1982-03-05 00:56:37.309828 UTC",101.85940847,-0.83369245,370088.03281992,0.00016344,1.44750385E-05,0.00570102,1.05976866,"1982-03-05 00:56:37.309828 UTC",1.23448080
"1982-04-01 06:05:29.385819 UTC",101.71322585,-0.60928878,370984.71470113,0.00016237,1.42284125E-05,0.02216189,1.05552280,"1982-04-01 06:05:29.385819 UTC",1.23747181
