"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-02 01:59:01.834919 UTC to 1980-01-02 01:59:01.834919 UTC", ... , "2080-12-26 07:11:06.584913 UTC to 2080-12-26 07:11:06.584913 UTC"], items=1351"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-02 01:59:01.834919 UTC","2444240.5826601265 JD UTC"
"1980-01-29 09:35:19.486309 UTC","2444267.8995310916 JD UTC"
"1980-02-25 15:24:10.923724 UTC","2444295.1417930988 JD UTC"
"1980-03-23 21:25:46.673282 UTC","2444322.3929013110 JD UTC"
"1980-04-20 05:27:04.344423 UTC","2444349.7271336160 JD UTC"
"1980-05-17 15:28:13.845320 UTC","2444377.1446046913 JD UTC"
"1980-06-14 01:59:51.387347 UTC","2444404.5832336500 JD UTC"
"1980-07-11 11:17:55.432629 UTC","2444431.9707804704 JD UTC"
"1980-08-07 18:26:53.881675 UTC","2444459.2686791862 JD UTC"
"1980-09-03 23:56:47.686459 UTC","2444486.4977741490 JD UTC"
"1980-10-01 05:38:56.220416 UTC","2444513.7353729215 JD UTC"
"1980-10-28 13:33:52.809636 UTC","2444541.0651945560 JD UTC"
"1980-11-25 00:08:09.015351 UTC","2444568.5056598997 JD UTC"
"1980-12-22 11:41:27.436804 UTC","2444595.9871231113 JD UTC"
"1981-01-18 21:41:05.496920 UTC","2444623.4035358440 JD UTC"
"1981-02-15 04:44:20.213118 UTC","2444650.6974561703 JD UTC"
"1981-03-14 09:56:02.025040 UTC","2444677.9139123270 JD UTC"
"1981-04-10 15:54:55.972970 UTC","2444705.1631478355 JD UTC"
"1981-05-08 00:25:50.087740 UTC","2444732.5179408304 JD UTC"
"1981-06-04 11:03:22.717528 UTC","2444759.9606796010 JD UTC"
"1981-07-01 21:58:06.322551 UTC","2444787.4153509554 JD UTC"
"1981-07-29 07:17:08.196992 UTC","2444814.8035670947 JD UTC"
"1981-08-25 14:08:11.671768 UTC","2444842.0890239790 JD UTC"
"1981-09-21 19:20:10.232416 UTC","2444869.3056739860 JD UTC"
"1981-10-19 01:08:32.683120 UTC","2444896.5476004990 JD UTC"
"1981-11-15 09:37:30.327025 UTC","2444923.9010454520 JD UTC"
"1981-12-12 20:49:11.691232 UTC","2444951.3674964260 JD UTC"
"1982-01-09 08:35:06.569251 UTC","2444978.8577149217 JD UTC"
"1982-02-05 18:17:15.613583 UTC","2445006.2619862680 JD UTC"
