"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-20 01:53:12.959537 UTC to 1980-01-20 01:53:12.959537 UTC", ... , "2080-12-28 06:49:43.458973 UTC to 2080-12-28 06:49:43.458973 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-20 01:53:12.959537 UTC","2444258.5786222170 JD UTC"
"1980-02-17 08:45:29.921108 UTC","2444286.8649296425 JD UTC"
"1980-03-16 20:29:38.756494 UTC","2444315.3539207927 JD UTC"
"1980-04-14 07:26:08.450115 UTC","2444343.8098200243 JD UTC"
"1980-05-12 12:57:43.349219 UTC","2444372.0400850605 JD UTC"
"1980-06-09 03:31:59.604850 UTC","2444399.6472176486 JD UTC"
"1980-07-04 16:17:14.168877 UTC","2444425.1786362138 JD UTC"
"1980-07-30 22:41:46.552603 UTC","2444451.4456776920 JD UTC"
"1980-08-27 19:06:20.590625 UTC","2444479.2960716510 JD UTC"
"1980-09-25 02:34:23.645547 UTC","2444507.6072181200 JD UTC"
"1980-10-23 13:59:45.906068 UTC","2444536.0831702090 JD UTC"
"1980-11-21 01:04:09.702090 UTC","2444564.5445567370 JD UTC"
"1980-12-19 05:21:42.271279 UTC","2444592.7234059176 JD UTC"
"1981-01-15 03:36:31.095568 UTC","2444619.6503599025 JD UTC"
"1981-02-08 22:34:01.261996 UTC","2444644.4402923840 JD UTC"
"1981-03-08 12:09:19.993045 UTC","2444672.0064814010 JD UTC"
"1981-04-05 18:36:26.468210 UTC","2444700.2753063450 JD UTC"
"1981-05-04 04:51:50.671290 UTC","2444728.7026698070 JD UTC"
"1981-06-01 14:19:41.597690 UTC","2444757.0970092327 JD UTC"
"1981-06-29 18:57:33.979186 UTC","2444785.2899766110 JD UTC"
"1981-07-27 09:19:24.072471 UTC","2444812.8884730610 JD UTC"
"1981-08-21 20:35:51.651147 UTC","2444838.3582367030 JD UTC"
"1981-09-17 03:54:49.044058 UTC","2444864.6630676393 JD UTC"
"1981-10-15 01:55:22.737719 UTC","2444892.5801242790 JD UTC"
"1981-11-12 11:08:13.194710 UTC","2444920.9640416056 JD UTC"
"1981-12-11 00:00:41.905084 UTC","2444949.5004850130 JD UTC"
"1982-01-08 11:31:46.085250 UTC","2444977.9803945054 JD UTC"
"1982-02-05 14:08:05.040086 UTC","2445006.0889472230 JD UTC"
"1982-03-04 04:35:14.181101 UTC","2445032.6911363555 JD UTC"
