"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-20 01:53:12.959537 UTC to 1980-01-20 01:53:12.959537 UTC", ... , "2080-12-28 06:49:43.458973 UTC to 2080-12-28 06:49:43.458973 UTC"], items=1339"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-20 01:53:12.959537 UTC",-31.01576008,0.04597331,363253.47756572,0.00017015,-1.55709317E-05,-1.55739923E-13,1.08325478,"1980-01-20 01:53:12.959537 UTC",1.21168318
"1980-02-17 08:45:29.921108 UTC",-18.15480568,-1.15580746,358699.83993470,0.00017462,-1.58055739E-05,1.10009224E-13,1.09748565,"1980-02-17 08:45:29.921108 UTC",1.19649388
"1980-03-16 20:29:38.756494 UTC",-2.66004069,-2.47937198,356926.81105608,0.00017663,-1.42352408E-05,7.66613335E-14,1.10285458,"1980-03-16 20:29:38.756494 UTC",1.19057969
"1980-04-14 07:26:08.450115 UTC",12.47577865,-3.58873311,358288.66124958,0.00017568,-1.10944718E-05,-4.84412857E-14,1.09860034,"1980-04-14 07:26:08.450115 UTC",1.19512233
"1980-05-12 12:57:43.349219 UTC",24.77066943,-4.33057362,362197.22537844,0.00017217,-7.60044404E-06,-8.08962272E-14,1.08632789,"1980-05-12 12:57:43.349219 UTC",1.20815990
"1980-06-09 03:31:59.604850 UTC",28.82335355,-4.64352737,367185.92094075,0.00016734,-5.90954959E-06,1.92185677E-14,1.06957094,"1980-06-09 03:31:59.604850 UTC",1.22480039
"1980-07-04 16:17:14.168877 UTC",4.44625272,-3.58850409,369614.77223247,0.00016424,-1.07549560E-05,-5.70784739E-14,1.05973454,"1980-07-04 16:17:14.168877 UTC",1.23290217
"1980-07-30 22:41:46.552603 UTC",-9.77836635,-2.64538813,365835.00179758,0.00016790,-1.34029717E-05,5.47860368E-14,1.07429669,"1980-07-30 22:41:46.552603 UTC",1.22029421
"1980-08-27 19:06:20.590625 UTC",-2.53234828,-3.19487688,360873.82469444,0.00017294,-1.26476079E-05,7.57553742E-14,1.09044636,"1980-08-27 19:06:20.590625 UTC",1.20374551
"1980-09-25 02:34:23.645547 UTC",10.76933323,-4.02158577,357438.32180824,0.00017666,-9.91436618E-06,-6.82015208E-14,1.10112827,"1980-09-25 02:34:23.645547 UTC",1.19228590
"1980-10-23 13:59:45.906068 UTC",26.21458884,-4.69084715,356757.56179796,0.00017769,-5.58143354E-06,-4.30532346E-14,1.10326884,"1980-10-23 13:59:45.906068 UTC",1.19001513
"1980-11-21 01:04:09.702090 UTC",41.49355804,-5.01212054,359257.92979816,0.00017541,-7.08048187E-07,-3.13760519E-14,1.09564226,"1980-11-21 01:04:09.702090 UTC",1.19835546
"1980-12-19 05:21:42.271279 UTC",53.07599117,-5.03847740,364339.55833843,0.00017041,2.97542847E-06,-3.98099522E-14,1.07959587,"1980-12-19 05:21:42.271279 UTC",1.21530595
"1981-01-15 03:36:31.095568 UTC",47.71958420,-5.22583638,369640.12031128,0.00016504,1.76556190E-06,1.12349366E-14,1.06035523,"1981-01-15 03:36:31.095568 UTC",1.23298672
"1981-02-08 22:34:01.261996 UTC",12.89416982,-4.66226704,368196.57575602,0.00016631,-7.15892760E-06,-7.37821262E-15,1.06622405,"1981-02-08 22:34:01.261996 UTC",1.22817158
"1981-03-08 12:09:19.993045 UTC",16.27546658,-4.72270882,362695.77140273,0.00017185,-6.30408509E-06,9.59184988E-14,1.08489102,"1981-03-08 12:09:19.993045 UTC",1.20982287
"1981-04-05 18:36:26.468210 UTC",29.07766287,-4.97331673,358495.99578160,0.00017612,-2.50266486E-06,1.25215593E-13,1.09796152,"1981-04-05 18:36:26.468210 UTC",1.19581392
"1981-05-04 04:51:50.671290 UTC",43.96914599,-4.95335690,357016.27359570,0.00017757,2.28911213E-06,-2.18605516E-14,1.10244300,"1981-05-04 04:51:50.671290 UTC",1.19087810
"1981-06-01 14:19:41.597690 UTC",58.43707363,-4.60795348,358475.52919013,0.00017592,6.71873315E-06,9.22608344E-14,1.09792031,"1981-06-01 14:19:41.597690 UTC",1.19574566
"1981-06-29 18:57:33.979186 UTC",70.27513866,-4.10084557,362332.93004765,0.00017187,9.73277440E-06,4.79390833E-14,1.08583995,"1981-06-29 18:57:33.979186 UTC",1.20861256
"1981-07-27 09:19:24.072471 UTC",74.19162174,-3.90093123,367269.28978426,0.00016687,1.03749833E-05,7.84528692E-15,1.06926725,"1981-07-27 09:19:24.072471 UTC",1.22507848
"1981-08-21 20:35:51.651147 UTC",48.91818479,-4.98471182,369658.03092269,0.00016480,4.49909616E-06,-3.45014815E-14,1.05960511,"1981-08-21 20:35:51.651147 UTC",1.23304647
"1981-09-17 03:54:49.044058 UTC",35.12730025,-5.07693838,365637.88682906,0.00016912,1.28018964E-06,5.34406503E-14,1.07503581,"1981-09-17 03:54:49.044058 UTC",1.21963671
