"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-26 11:42:03.714172 UTC to 1980-01-26 11:42:03.714172 UTC", ... , "2080-12-12 01:39:30.015470 UTC to 2080-12-12 01:39:30.015470 UTC"], items=1355"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-26 11:42:03.714172 UTC","2444264.9875429883 JD UTC"
"1980-02-22 16:34:13.576548 UTC","2444292.1904349136 JD UTC"
"1980-03-20 23:19:41.830309 UTC","2444319.4720119247 JD UTC"
"1980-04-17 06:48:37.557066 UTC","2444346.7837680215 JD UTC"
"1980-05-14 13:30:13.720474 UTC","2444374.0626588017 JD UTC"
"1980-06-10 18:47:10.859611 UTC","2444401.2827645787 JD UTC"
"1980-07-07 23:04:45.386408 UTC","2444428.4616364166 JD UTC"
"1980-08-04 03:21:06.280298 UTC","2444455.6396560220 JD UTC"
"1980-08-31 08:32:35.179383 UTC","2444482.8559627244 JD UTC"
"1980-09-27 15:00:10.900988 UTC","2444510.1251261690 JD UTC"
"1980-10-24 22:15:33.396381 UTC","2444537.4274698654 JD UTC"
"1980-11-21 05:22:39.639350 UTC","2444564.7240699000 JD UTC"
"1980-12-18 11:32:37.369853 UTC","2444591.9809880770 JD UTC"
"1981-01-14 16:33:18.965113 UTC","2444619.1898028370 JD UTC"
"1981-02-10 21:09:27.815084 UTC","2444646.3815719336 JD UTC"
"1981-03-10 02:27:51.541923 UTC","2444673.6026798836 JD UTC"
"1981-04-06 08:50:23.442914 UTC","2444700.8683268856 JD UTC"
"1981-05-03 15:49:14.728600 UTC","2444728.1591982480 JD UTC"
"1981-05-30 22:43:05.153201 UTC","2444755.4465874215 JD UTC"
"1981-06-27 04:55:21.138250 UTC","2444782.7051057667 JD UTC"
"1981-07-24 10:08:04.911662 UTC","2444809.9222790700 JD UTC"
"1981-08-20 14:39:37.458214 UTC","2444837.1108502110 JD UTC"
"1981-09-16 19:20:25.700285 UTC","2444864.3058530125 JD UTC"
"1981-10-14 01:02:18.572192 UTC","2444891.5432705116 JD UTC"
"1981-11-10 08:02:36.045679 UTC","2444918.8351394176 JD UTC"
"1981-12-07 15:38:12.687308 UTC","2444946.1515357327 JD UTC"
"1982-01-03 22:21:20.697214 UTC","2444973.4314895510 JD UTC"
"1982-01-31 03:18:10.828226 UTC","2445000.6376253270 JD UTC"
"1982-02-27 07:06:19.445271 UTC","2445027.7960583945 JD UTC"
