"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-26 11:42:03.714172 UTC to 1980-01-26 11:42:03.714172 UTC", ... , "2080-12-12 01:39:30.015470 UTC to 2080-12-12 01:39:30.015470 UTC"], items=1355"
"Step","1 hours"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-26 11:42:03.714172 UTC",59.73479919,-5.24607246,381216.06437004,0.00015511,5.11819368E-08,0.04388502,1.02863563,"1980-01-26 11:42:03.714172 UTC",1.27159992
"1980-02-22 16:34:13.576548 UTC",59.21041144,-5.30001369,377757.87122306,0.00015761,-1.67993292E-08,0.06125119,1.03654246,"1980-02-22 16:34:13.576548 UTC",1.26006463
"1980-03-20 23:19:41.830309 UTC",58.55937534,-5.21938922,371320.20510928,0.00016339,-8.03566892E-08,0.06810201,1.05672459,"1980-03-20 23:19:41.830309 UTC",1.23859088
"1980-04-17 06:48:37.557066 UTC",57.05483123,-5.08034318,366159.50789572,0.00016863,-7.98319574E-08,0.05701207,1.07493517,"1980-04-17 06:48:37.557066 UTC",1.22137665
"1980-05-14 13:30:13.720474 UTC",54.75134867,-5.00849540,365328.92655483,0.00016980,-1.19105004E-08,0.03547367,1.07912797,"1980-05-14 13:30:13.720474 UTC",1.21860613
"1980-06-10 18:47:10.859611 UTC",52.46483224,-5.06292895,368534.77285771,0.00016676,5.57294860E-08,0.01955206,1.06862769,"1980-06-10 18:47:10.859611 UTC",1.22929968
"1980-07-07 23:04:45.386408 UTC",50.95297837,-5.18991566,372407.09226413,0.00016286,6.13361282E-08,0.01986021,1.05437740,"1980-07-07 23:04:45.386408 UTC",1.24221635
"1980-08-04 03:21:06.280298 UTC",50.26545909,-5.28137516,373163.84456790,0.00016179,4.28775368E-09,0.03348688,1.04977950,"1980-08-04 03:21:06.280298 UTC",1.24474060
"1980-08-31 08:32:35.179383 UTC",49.81965144,-5.26147021,369410.68137067,0.00016505,-7.32584851E-08,0.04772587,1.06074050,"1980-08-31 08:32:35.179383 UTC",1.23222140
"1980-09-27 15:00:10.900988 UTC",48.81493803,-5.14117390,363123.15834631,0.00017117,-1.12017184E-07,0.04860663,1.08156582,"1980-09-27 15:00:10.900988 UTC",1.21124848
"1980-10-24 22:15:33.396381 UTC",46.79534937,-5.02145567,358552.72747499,0.00017602,-6.80633775E-08,0.03042870,1.09769242,"1980-10-24 22:15:33.396381 UTC",1.19600316
"1980-11-21 05:22:39.639350 UTC",44.21421428,-5.01740956,359286.91379409,0.00017541,2.61997486E-08,0.00374224,1.09574204,"1980-11-21 05:22:39.639350 UTC",1.19845214
"1980-12-18 11:32:37.369853 UTC",42.15703196,-5.13649306,364687.15226284,0.00016991,7.53899078E-08,-0.01062878,1.07720372,"1980-12-18 11:32:37.369853 UTC",1.21646540
"1981-01-14 16:33:18.965113 UTC",41.15456364,-5.26178515,369701.65143925,0.00016491,4.00481866E-08,-0.00304631,1.05960116,"1981-01-14 16:33:18.965113 UTC",1.23319197
"1981-02-10 21:09:27.815084 UTC",40.71024573,-5.27549583,369575.72211886,0.00016495,-3.67429032E-08,0.01522840,1.05960187,"1981-02-10 21:09:27.815084 UTC",1.23277191
"1981-03-10 02:27:51.541923 UTC",39.88822844,-5.16776287,364438.50508631,0.00016998,-8.69891242E-08,0.02410068,1.07706579,"1981-03-10 02:27:51.541923 UTC",1.21563600
"1981-04-06 08:50:23.442914 UTC",38.09512952,-5.03906304,358819.18837604,0.00017574,-6.05605203E-08,0.01252340,1.09642297,"1981-04-06 08:50:23.442914 UTC",1.19689198
"1981-05-03 15:49:14.728600 UTC",35.63492384,-5.00772920,357308.61407583,0.00017729,2.39451458E-08,-0.01241566,1.10148886,"1981-05-03 15:49:14.728600 UTC",1.19185325
"1981-05-30 22:43:05.153201 UTC",33.46197928,-5.09820343,360881.31964798,0.00017350,8.30489893E-08,-0.03253973,1.08895689,"1981-05-30 22:43:05.153201 UTC",1.20377051
"1981-06-27 04:55:21.138250 UTC",32.20569365,-5.22590271,366694.66143098,0.00016767,6.55368253E-08,-0.03558574,1.06923945,"1981-06-27 04:55:21.138250 UTC",1.22316173
"1981-07-24 10:08:04.911662 UTC",31.67414916,-5.28355086,370638.40458896,0.00016400,-6.06255957E-09,-0.02342860,1.05666653,"1981-07-24 10:08:04.911662 UTC",1.23631664
"1981-08-20 14:39:37.458214 UTC",31.15251765,-5.22498635,370092.30022032,0.00016474,-7.67502334E-08,-0.00825700,1.05971991,"1981-08-20 14:39:37.458214 UTC",1.23449503
"1981-09-16 19:20:25.700285 UTC",29.90669563,-5.09527602,365711.65626185,0.00016916,-9.30453292E-08,-0.00481415,1.07546821,"1981-09-16 19:20:25.700285 UTC",1.21988278
"1981-10-14 01:02:18.572192 UTC",27.70496821,-5.00588883,361390.26593625,0.00017346,-3.21851478E-08,-0.02034049,1.09011496,"1981-10-14 01:02:18.572192 UTC",1.20546817
"1981-11-10 08:02:36.045679 UTC",25.19206331,-5.04669204,361468.06738734,0.00017312,5.50822424E-08,-0.04571106,1.08888764,"1981-11-10 08:02:36.045679 UTC",1.20572769
"1981-12-07 15:38:12.687308 UTC",23.39314311,-5.18576123,366773.87264557,0.00016759,8.01457118E-08,-0.06119290,1.07016804,"1981-12-07 15:38:12.687308 UTC",1.22342595
"1982-01-03 22:21:20.697214 UTC",22.59655367,-5.29004844,373664.59326253,0.00016115,2.65355678E-08,-0.05608997,1.04796480,"1982-01-03 22:21:20.697214 UTC",1.24641092
"1982-01-31 03:18:10.828226 UTC",22.12657590,-5.26209656,377188.57471111,0.00015839,-4.68837731E-08,-0.03844262,1.03904362,"1982-01-31 03:18:10.828226 UTC",1.25816566
"1982-02-27 07:06:19.445271 UTC",21.07040168,-5.13072311,375530.10509823,0.00016042,-7.54153700E-08,-0.02668065,1.04756028,"1982-02-27 07:06:19.445271 UTC",1.25263360
"1982-03-26 11:13:06.640072 UTC",19.05150273,-5.01873938,371648.71961825,0.00016420,-3.07223411E-08,-0.03281379,1.06153383,"1982-03-26 11:13:06.640072 UTC",1.23968669
"1982-04-22 16:42:12.185562 UTC",16.60068400,-5.02882600,370068.65402534,0.00016542,4.84041064E-08,-0.05166501,1.06554471,"1982-04-22 16:42:12.185562 UTC",1.23441616
"1982-05-19 23:35:16.205079 UTC",14.66830533,-5.14778239,372684.79963907,0.00016251,8.40570357E-08,-0.06764653,1.05496709,"1982-05-19 23:35:16.205079 UTC",1.24314268
"1982-06-16 06:50:31.765207 UTC",13.66586088,-5.26805667,378048.62200762,0.00015745,4.67409426E-08,-0.07015556,1.03689720,"1982-06-16 06:50:31.765207 UTC",1.26103447
"1982-07-13 13:02:41.037594 UTC",13.19884187,-5.29032888,383185.89366065,0.00015324,-2.66894986E-08,-0.05965198,1.02225646,"1982-07-13 13:02:41.037594 UTC",1.27817056
"1982-08-09 17:24:05.585715 UTC",12.50635730,-5.19773199,385451.66603807,0.00015192,-8.03657066E-08,-0.04499889,1.01884954,"1982-08-09 17:24:05.585715 UTC",1.28572836
"1982-09-05 20:25:15.451020 UTC",11.00017477,-5.06419722,384207.06422709,0.00015354,-7.51541829E-08,-0.03812427,1.02630816,"1982-09-05 20:25:15.451020 UTC",1.28157682
