"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 days"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"1980-01-16 12:53:35.827291 UTC",-82.39559558,4.10409684,372218.44950472,0.00016307,-9.07693054E-06,-0.05502350,1.05972845,"1980-01-16 12:53:35.827291 UTC",1.24158710
"1980-02-12 23:54:35.938444 UTC",-82.14541422,4.14643496,374327.53483089,0.00016054,-9.22583557E-06,-0.07022165,1.05021268,"1980-02-12 23:54:35.938444 UTC",1.24862225
"1980-03-11 09:09:25.275906 UTC",-82.16339221,4.11132220,379749.24138839,0.00015545,-8.91501670E-06,-0.07152257,1.03182534,"1980-03-11 09:09:25.275906 UTC",1.26670712
"1980-04-07 16:11:14.586385 UTC",-82.16181594,3.94514020,384812.35869608,0.00015140,-8.69485207E-06,-0.05938222,1.01781495,"1980-04-07 16:11:14.586385 UTC",1.28359586
"1980-05-04 22:13:06.155672 UTC",-81.91412828,3.71045939,386463.43989602,0.00015061,-8.93658238E-06,-0.04495295,1.01650993,"1980-05-04 22:13:06.155672 UTC",1.28910328
"1980-06-01 04:54:53.827160 UTC",-81.42601186,3.51708593,384607.21372079,0.00015261,-9.61216770E-06,-0.03907726,1.02528500,"1980-06-01 04:54:53.827160 UTC",1.28291157
"1980-06-28 13:09:21.968060 UTC",-80.89316748,3.43306308,381499.77346584,0.00015527,-1.03891532E-05,-0.04492723,1.03529398,"1980-06-28 13:09:21.968060 UTC",1.27254627
"1980-07-25 22:41:50.780428 UTC",-80.54786217,3.44114831,379883.62074726,0.00015624,-1.08468283E-05,-0.05800202,1.03818926,"1980-07-25 22:41:50.780428 UTC",1.26715536
"1980-08-22 08:30:11.364060 UTC",-80.48611136,3.45064755,381499.21902356,0.00015427,-1.07786557E-05,-0.06921659,1.03019719,"1980-08-22 08:30:11.364060 UTC",1.27254442
"1980-09-18 17:21:56.048002 UTC",-80.57692909,3.36066586,386045.17229556,0.00015014,-1.03971777E-05,-0.06991632,1.01469070,"1980-09-18 17:21:56.048002 UTC",1.28770809
