"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1980-01-16 12:53:35.827291 UTC","2444255.0372202233 JD UTC"
"1980-02-12 23:54:35.938444 UTC","2444282.4962492874 JD UTC"
"1980-03-11 09:09:25.275906 UTC","2444309.8815425453 JD UTC"
"1980-04-07 16:11:14.586385 UTC","2444337.1744743795 JD UTC"
"1980-05-04 22:13:06.155672 UTC","2444364.4257656910 JD UTC"
"1980-06-01 04:54:53.827160 UTC","2444391.7047896660 JD UTC"
"1980-06-28 13:09:21.968060 UTC","2444419.0481709265 JD UTC"
"1980-07-25 22:41:50.780428 UTC","2444446.4457266250 JD UTC"
"1980-08-22 08:30:11.364060 UTC","2444473.8542981953 JD UTC"
"1980-09-18 17:21:56.048002 UTC","2444501.2235653703 JD UTC"
"1980-10-16 00:40:20.956097 UTC","2444528.5280203250 JD UTC"
"1980-11-12 06:58:14.283967 UTC","2444555.7904431014 JD UTC"
"1980-12-09 13:38:37.238872 UTC","2444583.0684865610 JD UTC"
"1981-01-05 21:42:24.960981 UTC","2444610.4044555670 JD UTC"
"1981-02-02 06:56:37.133497 UTC","2444637.7893186747 JD UTC"
"1981-03-01 16:14:00.813380 UTC","2444665.1763983030 JD UTC"
"1981-03-29 00:33:29.675675 UTC","2444692.5232601350 JD UTC"
"1981-04-25 07:42:05.566137 UTC","2444719.8208977560 JD UTC"
"1981-05-22 14:11:47.535244 UTC","2444747.0915223990 JD UTC"
"1981-06-18 20:48:31.465615 UTC","2444774.3670308520 JD UTC"
"1981-07-16 04:03:53.778697 UTC","2444801.6693724385 JD UTC"
"1981-08-12 12:02:51.621099 UTC","2444829.0019863555 JD UTC"
"1981-09-08 20:24:37.397980 UTC","2444856.3504328470 JD UTC"
"1981-10-06 04:34:04.018004 UTC","2444883.6903242823 JD UTC"
"1981-11-02 12:02:48.034924 UTC","2444911.0019448490 JD UTC"
"1981-11-29 18:50:32.947815 UTC","2444938.2851035628 JD UTC"
"1981-12-27 01:25:02.854736 UTC","2444965.5590608185 JD UTC"
"1982-01-23 08:17:42.012887 UTC","2444992.8456251490 JD UTC"
"1982-02-19 15:43:10.234633 UTC","2445020.1549795675 JD UTC"
