"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["2023-01-25 18:47:35.904471 UTC to 2023-01-25 18:47:35.904471 UTC", ... , "2042-12-20 03:30:09.737092 UTC to 2042-12-20 03:30:09.737092 UTC"], items=267"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2023-01-25 18:47:35.904471 UTC","2459970.2830544500 JD UTC"
"2023-02-22 05:13:34.227028 UTC","2459997.7177572570 JD UTC"
"2023-03-21 16:00:58.949250 UTC","2460025.1673489497 JD UTC"
"2023-04-18 01:08:55.924266 UTC","2460052.5478694937 JD UTC"
"2023-05-15 07:55:21.536320 UTC","2460079.8301103740 JD UTC"
"2023-06-11 13:20:08.571871 UTC","2460107.0556547670 JD UTC"
"2023-07-08 19:18:48.103387 UTC","2460134.3047234190 JD UTC"
"2023-08-05 03:19:06.140662 UTC","2460161.6382655170 JD UTC"
"2023-09-01 13:24:38.722542 UTC","2460189.0587815107 JD UTC"
"2023-09-29 00:17:02.377392 UTC","2460216.5118330717 JD UTC"
"2023-10-26 10:01:18.884526 UTC","2460243.9175796820 JD UTC"
"2023-11-22 17:19:14.726769 UTC","2460271.2216982264 JD UTC"
"2023-12-19 22:46:29.399087 UTC","2460298.4489513785 JD UTC"
"2024-01-16 04:48:24.221068 UTC","2460325.7002803367 JD UTC"
"2024-02-12 13:25:40.967746 UTC","2460353.0595019413 JD UTC"
"2024-03-11 00:19:07.745164 UTC","2460380.5132840876 JD UTC"
"2024-04-07 11:24:36.279171 UTC","2460407.9754198976 JD UTC"
"2024-05-04 20:40:32.097887 UTC","2460435.3614826147 JD UTC"
"2024-06-01 03:28:08.422156 UTC","2460462.6445419230 JD UTC"
"2024-06-28 08:51:48.182618 UTC","2460489.8693076693 JD UTC"
"2024-07-25 14:52:13.909293 UTC","2460517.1196054320 JD UTC"
"2024-08-21 23:01:32.712250 UTC","2460544.4594063917 JD UTC"
"2024-09-18 09:23:53.498652 UTC","2460571.8915914195 JD UTC"
"2024-10-15 20:34:04.070138 UTC","2460599.3569915527 JD UTC"
"2024-11-12 06:25:30.926585 UTC","2460626.7677190580 JD UTC"
"2024-12-09 13:37:36.826590 UTC","2460654.0677873446 JD UTC"
"2025-01-05 19:00:54.307339 UTC","2460681.2922952240 JD UTC"
"2025-02-02 01:09:55.987262 UTC","2460708.5485646673 JD UTC"
"2025-03-01 09:51:54.281096 UTC","2460735.9110449200 JD UTC"
