"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Object"
"Observer","EARTH"
"Reference frame","ECLIPDATE"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Input times","["2023-01-02T23:48:00.000", "2023-01-04T00:54:00.000", ... , "2042-12-30T05:00:00.000", "2042-12-31T05:18:00.000"], items=4496"
"State representation","Planetocentric"
"State Vector Results"
"UTC calendar date","Longitude (deg)","Latitude (deg)","Radius (km)","d Longitude/dt (deg/s)","d Latitude/dt (deg/s)","d Radius/dt (km/s)","Speed (km/s)","Time at Target","Light Time (s)"
"2023-01-02 23:48:00.000000 UTC",58.50302063,1.46967362,397428.03166168,0.00014207,1.20871079E-05,0.03849234,0.98943785,"2023-01-02 23:48:00.000000 UTC",1.32567722
"2023-01-04 00:54:00.000000 UTC",71.25801716,2.50734880,400559.14777618,0.00014034,1.07984939E-05,0.03085490,0.98358416,"2023-01-04 00:54:00.000000 UTC",1.33612150
"2023-01-05 01:42:00.000000 UTC",83.73035328,3.39774956,402988.14970485,0.00013913,9.08064070E-06,0.02360724,0.97920135,"2023-01-05 01:42:00.000000 UTC",1.34422378
"2023-01-06 02:24:00.000000 UTC",96.06186369,4.11552159,404774.52338018,0.00013829,7.01105762E-06,0.01658369,0.97582893,"2023-01-06 02:24:00.000000 UTC",1.35018248
"2023-01-07 03:00:00.000000 UTC",108.28212683,4.63492051,405930.81678250,0.00013773,4.68195829E-06,0.00947986,0.97323488,"2023-01-07 03:00:00.000000 UTC",1.35403946
"2023-01-08 03:24:00.000000 UTC",120.36558552,4.93808809,406437.51794503,0.00013743,2.20006452E-06,0.00194393,0.97141637,"2023-01-08 03:24:00.000000 UTC",1.35572963
"2023-01-09 03:48:00.000000 UTC",132.43445932,5.01913877,406247.71165498,0.00013741,-3.60170557E-07,-0.00642794,0.97057487,"2023-01-09 03:48:00.000000 UTC",1.35509650
"2023-01-10 04:06:00.000000 UTC",144.46654531,4.87614551,405283.18433152,0.00013774,-2.90059817E-06,-0.01580214,0.97112412,"2023-01-10 04:06:00.000000 UTC",1.35187919
"2023-01-11 04:12:00.000000 UTC",156.44735298,4.51807631,403471.95832206,0.00013853,-5.33320891E-06,-0.02610081,0.97356968,"2023-01-11 04:12:00.000000 UTC",1.34583759
"2023-01-17 23:00:00.000000 UTC",-116.80237296,-1.98319104,370050.38419311,0.00016346,-1.32223215E-05,-0.06825682,1.06071216,"2023-01-17 23:00:00.000000 UTC",1.23435522
"2023-01-19 00:30:00.000000 UTC",-101.52258084,-3.13192138,364234.77428241,0.00016935,-1.16120021E-05,-0.05727998,1.07901759,"2023-01-19 00:30:00.000000 UTC",1.21495643
"2023-01-20 01:36:00.000000 UTC",-85.99030253,-4.06681818,359795.39323362,0.00017421,-8.89897887E-06,-0.03999476,1.09336714,"2023-01-20 01:36:00.000000 UTC",1.20014825
"2023-01-21 02:30:00.000000 UTC",-70.22105381,-4.70682534,357169.42826280,0.00017727,-5.24557895E-06,-0.01797113,1.10199548,"2023-01-21 02:30:00.000000 UTC",1.19138897
"2023-01-22 03:18:00.000000 UTC",-54.34340862,-4.98934174,356640.40245032,0.00017799,-1.02838233E-06,0.00624837,1.10374100,"2023-01-22 03:18:00.000000 UTC",1.18962433
"2023-01-23 03:54:00.000000 UTC",-38.64096376,-4.89128952,358239.54509201,0.00017623,3.20573975E-06,0.02948098,1.09845269,"2023-01-23 03:54:00.000000 UTC",1.19495850
"2023-01-24 04:24:00.000000 UTC",-23.25406767,-4.43779671,361736.86608402,0.00017238,6.96580318E-06,0.04903061,1.08703132,"2023-01-24 04:24:00.000000 UTC",1.20662430
"2023-01-25 04:42:00.000000 UTC",-8.39587068,-3.69372203,366679.16825497,0.00016715,9.89418333E-06,0.06295145,1.07122878,"2023-01-25 04:42:00.000000 UTC",1.22311005
"2023-01-26 04:42:00.000000 UTC",5.79860396,-2.74725474,372490.86064844,0.00016139,1.18587410E-05,0.07054885,1.05319378,"2023-01-26 04:42:00.000000 UTC",1.24249577
"2023-01-30 21:54:00.000000 UTC",66.79548700,2.36366676,398406.63981657,0.00014097,1.09235383E-05,0.04441017,0.98331691,"2023-01-30 21:54:00.000000 UTC",1.32894150
"2023-01-31 23:30:00.000000 UTC",79.68932083,3.29285912,401956.22324972,0.00013900,9.17679810E-06,0.03262157,0.97620789,"2023-01-31 23:30:00.000000 UTC",1.34078164
"2023-02-02 00:30:00.000000 UTC",92.14343306,4.02906908,404386.25353991,0.00013788,7.13365625E-06,0.02149875,0.97224705,"2023-02-02 00:30:00.000000 UTC",1.34888735
