"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Input times","["2023-01-02T23:48:00.000", "2023-01-04T00:54:00.000", ... , "2042-12-30T05:00:00.000", "2042-12-31T05:18:00.000"], items=4496"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2023-01-02 23:48:00.000000 UTC","2459947.4916666667 JD UTC"
"2023-01-04 00:54:00.000000 UTC","2459948.5375000000 JD UTC"
"2023-01-05 01:42:00.000000 UTC","2459949.5708333333 JD UTC"
"2023-01-06 02:24:00.000000 UTC","2459950.6000000000 JD UTC"
"2023-01-07 03:00:00.000000 UTC","2459951.6250000000 JD UTC"
"2023-01-08 03:24:00.000000 UTC","2459952.6416666666 JD UTC"
"2023-01-09 03:48:00.000000 UTC","2459953.6583333330 JD UTC"
"2023-01-10 04:06:00.000000 UTC","2459954.6708333334 JD UTC"
"2023-01-11 04:12:00.000000 UTC","2459955.6750000000 JD UTC"
"2023-01-17 23:00:00.000000 UTC","2459962.4583333335 JD UTC"
"2023-01-19 00:30:00.000000 UTC","2459963.5208333335 JD UTC"
"2023-01-20 01:36:00.000000 UTC","2459964.5666666670 JD UTC"
"2023-01-21 02:30:00.000000 UTC","2459965.6041666665 JD UTC"
"2023-01-22 03:18:00.000000 UTC","2459966.6375000000 JD UTC"
"2023-01-23 03:54:00.000000 UTC","2459967.6625000000 JD UTC"
"2023-01-24 04:24:00.000000 UTC","2459968.6833333330 JD UTC"
"2023-01-25 04:42:00.000000 UTC","2459969.6958333333 JD UTC"
"2023-01-26 04:42:00.000000 UTC","2459970.6958333333 JD UTC"
"2023-01-30 21:54:00.000000 UTC","2459975.4125000000 JD UTC"
"2023-01-31 23:30:00.000000 UTC","2459976.4791666665 JD UTC"
"2023-02-02 00:30:00.000000 UTC","2459977.5208333335 JD UTC"
"2023-02-03 01:18:00.000000 UTC","2459978.5541666667 JD UTC"
"2023-02-04 01:54:00.000000 UTC","2459979.5791666666 JD UTC"
"2023-02-05 02:24:00.000000 UTC","2459980.6000000000 JD UTC"
"2023-02-06 02:48:00.000000 UTC","2459981.6166666667 JD UTC"
"2023-02-07 03:06:00.000000 UTC","2459982.6291666670 JD UTC"
"2023-02-08 03:12:00.000000 UTC","2459983.6333333333 JD UTC"
"2023-02-14 21:00:00.000000 UTC","2459990.3750000000 JD UTC"
"2023-02-15 23:00:00.000000 UTC","2459991.4583333335 JD UTC"
"2023-02-17 00:18:00.000000 UTC","2459992.5125000000 JD UTC"
