"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Input times","["2023-01-02T21:18:00.000", "2023-01-03T21:36:00.000", ... , "2042-12-30T01:12:00.000", "2042-12-31T02:18:00.000"], items=4496"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2023-01-02 21:18:00.000000 UTC","2459947.3875000000 JD UTC"
"2023-01-03 21:36:00.000000 UTC","2459948.4000000000 JD UTC"
"2023-01-04 22:06:00.000000 UTC","2459949.4208333334 JD UTC"
"2023-01-05 22:42:00.000000 UTC","2459950.4458333333 JD UTC"
"2023-01-06 23:18:00.000000 UTC","2459951.4708333330 JD UTC"
"2023-01-07 23:54:00.000000 UTC","2459952.4958333330 JD UTC"
"2023-01-09 00:36:00.000000 UTC","2459953.5250000000 JD UTC"
"2023-01-10 01:24:00.000000 UTC","2459954.5583333330 JD UTC"
"2023-01-11 02:18:00.000000 UTC","2459955.5958333330 JD UTC"
"2023-01-17 20:30:00.000000 UTC","2459962.3541666665 JD UTC"
"2023-01-18 20:36:00.000000 UTC","2459963.3583333334 JD UTC"
"2023-01-19 21:06:00.000000 UTC","2459964.3791666670 JD UTC"
"2023-01-20 21:48:00.000000 UTC","2459965.4083333330 JD UTC"
"2023-01-21 22:30:00.000000 UTC","2459966.4375000000 JD UTC"
"2023-01-22 23:24:00.000000 UTC","2459967.4750000000 JD UTC"
"2023-01-24 00:18:00.000000 UTC","2459968.5125000000 JD UTC"
"2023-01-25 01:18:00.000000 UTC","2459969.5541666667 JD UTC"
"2023-01-26 02:42:00.000000 UTC","2459970.6125000000 JD UTC"
"2023-01-30 20:48:00.000000 UTC","2459975.3666666667 JD UTC"
"2023-01-31 20:54:00.000000 UTC","2459976.3708333330 JD UTC"
"2023-02-01 21:24:00.000000 UTC","2459977.3916666666 JD UTC"
"2023-02-02 22:00:00.000000 UTC","2459978.4166666665 JD UTC"
"2023-02-03 22:30:00.000000 UTC","2459979.4375000000 JD UTC"
"2023-02-04 23:06:00.000000 UTC","2459980.4625000000 JD UTC"
"2023-02-05 23:42:00.000000 UTC","2459981.4875000000 JD UTC"
"2023-02-07 00:18:00.000000 UTC","2459982.5125000000 JD UTC"
"2023-02-08 01:06:00.000000 UTC","2459983.5458333334 JD UTC"
"2023-02-14 19:42:00.000000 UTC","2459990.3208333333 JD UTC"
"2023-02-15 19:42:00.000000 UTC","2459991.3208333333 JD UTC"
"2023-02-16 20:12:00.000000 UTC","2459992.3416666670 JD UTC"
